Data de Compra;Nome no Cartão;Final do Cartão;Categoria;Descrição;Parcela;Valor (em US$);Cotação (em R$);Valor (em R$)
16/11/2025;JHON DOE;3624;Materiais de construção para casa;EC *VINICIUSWEBERVERGI;7/8;0;0;387.09
28/11/2025;JHON DOE;3624;T&E;LA TORRE;7/8;0;0;541.40
19/01/2026;JHON DOE;3624;T&E Companhia aérea;AZUL LINHAS AEREAS BRA;5/12;0;0;87.00
30/03/2026;JHON DOE;3624;Assistência médica e odontológica;MANIPULARTE  FARMACIA;3/3;0;0;127.66
10/04/2026;JHON DOE;3624;T&E;HOTEL SOLAR *HOTELSOLA;2/2;0;0;214.00
20/04/2026;JHON DOE;3624;Relacionados a Automotivo;MP *FLEXCARAUTOCE;2/2;0;0;200.00
20/04/2026;JHON DOE;3624;T&E Companhia aérea;LATAM AIR*ICSGDD;2/4;0;0;468.03
29/04/2026;JHON DOE;3624;Restaurante / Lanchonete / Bar;R  C RESTAURANTE LTDA;Única;0;0;64.07
30/04/2026;JHON DOE;3624;Relacionados a Automotivo;COOPERATIVA AGROPECUA;Única;0;0;187.84
30/04/2026;JHON DOE;3624;Supermercados / Mercearia / Padarias / Lojas de Conveniência;SUPERMERCADO DO POVO L;Única;0;0;23.98
30/04/2026;JHON DOE;3624;Supermercados / Mercearia / Padarias / Lojas de Conveniência;SUPERMERCADO 007;Única;0;0;160.90
01/05/2026;JHON DOE;3624;Empresa serviços;JHONDOE;Única;0;0;41.60
02/05/2026;JHON DOE;3624;Serviços pessoais;G.D SERVICOS;Única;0;0;75.00
02/05/2026;JHON DOE;3624;Associação;LJ 4934 SAM S GOIANIA;Única;0;0;807.16
02/05/2026;JHON DOE;3624;Especialidade varejo;CENTAURO;Única;0;0;149.99
02/05/2026;JHON DOE;3624;Assistência médica e odontológica;DROGARIA PLUS;Única;0;0;2.99
02/05/2026;JHON DOE;3624;Relacionados a Automotivo;FLAMBOYANT ESTACIONAME;Única;0;0;30.20
03/05/2026;JHON DOE;3624;Supermercados / Mercearia / Padarias / Lojas de Conveniência;MP *JOAOPEDROBONI;Única;0;0;14.00
06/05/2026;JHON DOE;3624;Empresa serviços;JHONDOE;Única;0;0;15.60
06/05/2026;JHON DOE;3624;Supermercados / Mercearia / Padarias / Lojas de Conveniência;CARREFOUR GOS 18;Única;0;0;1002.44
07/05/2026;JHON DOE;3624;Educacional;UNIP EAD;Única;0;0;175.04
07/05/2026;JHON DOE;3624;Educacional;IMPERIOKADOSHCURS;Única;0;0;177.45
08/05/2026;JHON DOE;3624;Serviços Profissionais;SAMUELPAULOCRUZ;Única;0;0;80.76
08/05/2026;JHON DOE;3624;Serviços pessoais;MP *BARBEARIAINVI;Única;0;0;55.00
08/05/2026;JHON DOE;3624;Relacionados a Automotivo;COOPERATIVA AGROPECUA;Única;0;0;30.00
09/05/2026;JHON DOE;3624;Supermercados / Mercearia / Padarias / Lojas de Conveniência;SUPERMERCADO 007;Única;0;0;100.50
10/05/2026;JHON DOE;3624;Empresa serviços;JHONDOE;Única;0;0;52.00
10/05/2026;JHON DOE;3624;Serviços pessoais;BMB         *ALLREDE;Única;0;0;125.00
11/05/2026;JHON DOE;3624;Elétrico;AMAZONMKTPLC*JOELARGAR;1/3;0;0;298.00
11/05/2026;JHON DOE;3624;Relacionados a Automotivo;COOPERATIVA AGROPECUA;Única;0;0;30.00
12/05/2026;JHON DOE;3624;Supermercados / Mercearia / Padarias / Lojas de Conveniência;SUPERMERCADO 007;Única;0;0;29.99
13/05/2026;JHON DOE;3624;Relacionados a Automotivo;POSTO DA MATA;Única;0;0;156.20
13/05/2026;JHON DOE;3624;Elétrico;MERCADO*MERCADOLIVRE;Única;0;0;1524.99
14/05/2026;JHON DOE;3624;Empresa para empresa;AMAZON PRIME CANAIS;Única;0;0;59.90
15/05/2026;JHON DOE;3624;Assistência médica e odontológica;FARMACIA PRECO BAIXO;Única;0;0;21.99
18/05/2026;JHON DOE;3624;Seguro;ALLIANZ SEGUROS S/A;Única;0;0;172.70
19/05/2026;JHON DOE;3624;Supermercados / Mercearia / Padarias / Lojas de Conveniência;SUPERMERCADO 007;Única;0;0;86.45
21/05/2026;JHON DOE;3624;Relacionados a Automotivo;POSTO DA MATA;Única;0;0;50.00
22/05/2026;JHON DOE;3624;Serviços pessoais;MAISQUESENIOR;Única;0;0;10.00
22/05/2026;JHON DOE;3624;Serviços pessoais;MP *BARBEARIAINVI;Única;0;0;55.00
22/05/2026;JHON DOE;3624;Restaurante / Lanchonete / Bar;FLOR DI GIS RESTAURANT;Única;0;0;133.00
23/05/2026;JHON DOE;3624;Relacionados a Automotivo;POSTO DA MATA;Única;0;0;50.00
23/05/2026;JHON DOE;3624;Supermercados / Mercearia / Padarias / Lojas de Conveniência;SUPERMERCADO 007;Única;0;0;226.97
24/05/2026;JHON DOE;3624;T&E Companhia aérea;SMILES *TXAEMBARQUE;Única;0;0;50.42
24/05/2026;JHON DOE;3624;Materiais de construção para casa;MERCADOLIVRE*GAADECOR;Única;0;0;109.37
24/05/2026;JHON DOE;3624;Supermercados / Mercearia / Padarias / Lojas de Conveniência;COMERCIAL DE ALIMENTOS;Única;0;0;20.21
26/05/2026;JHON DOE;3624;Relacionados a Automotivo;COOPERATIVA AGROPECUA;Única;0;0;30.00
01/06/2026;JHON DOE;3624;Transporte;BOOKING.COM HOTEL;Única;0;0;1501.00
07/05/2026;JHON DOE;8397;-;Pag Fatura Boleto;Única;0;0;-8353.96
25/05/2026;JHON DOE;8397;-;Anuidade Diferenciada;5/12;0;0;98.00
25/05/2026;JHON DOE;8397;-;Estorno Tarifa;Única;0;0;-98.00
